ean;name;quantity;sector;type;size
7893963009073;SAPATO EVA PRETO TAM- 40 MARLUVAS;0;EPI;SAPATO;40
7896933808362;SAPATO BRANCO 50F61-SRV TRU LINE 37 MARLUVAS;0;EPI;SAPATO;37
7893963808362;SAPATO BRANCO 50F61-SRV TRU LINE 38 MARLUVAS;0;EPI;SAPATO;38
7893963542266;SAPATO BRANCO 70T19-BP C/ELASTICO 33 MARLUVAS;0;EPI;SAPATO;33
7893963542273;SAPATO BRANCO 70T19-BP C/ELASTICO 34 MARLUVAS;0;EPI;SAPATO;34
7893963542280;SAPATO BRANCO 70T19-BP C/ELASTICO 35 MARLUVAS;0;EPI;SAPATO;35
7893963542297;SAPATO BRANCO 70T19-BP C/ELASTICO 36 MARLUVAS;0;EPI;SAPATO;36
7893963542303;SAPATO BRANCO 70T19-BP C/ELASTICO 37 MARLUVAS;0;EPI;SAPATO;37
7893963542310;SAPATO BRANCO 70T19-BP C/ELASTICO 38 MARLUVAS;0;EPI;SAPATO;38
7893963542327;SAPATO BRANCO 70T19-BP C/ELASTICO 39 MARLUVAS;0;EPI;SAPATO;39
7893963542334;SAPATO BRANCO 70T19-BP C/ELASTICO 40 MARLUVAS;0;EPI;SAPATO;40
7893963542341;SAPATO BRANCO 70T19-BP C/ELASTICO 41 MARLUVAS;0;EPI;SAPATO;41
7893963542358;SAPATO BRANCO 70T19-BP C/ELASTICO 42 MARLUVAS;0;EPI;SAPATO;42
7893963542365;SAPATO BRANCO 70T19-BP C/ELASTICO 43 MARLUVAS;0;EPI;SAPATO;43
7893963542372;SAPATO BRANCO 70T19-BP C/ELASTICO 44 MARLUVAS;0;EPI;SAPATO;44
7893963009035;SAPATO EVA PRETO TAM-37 MARLUVAS;0;EPI;SAPATO;37
7893963923010;SAPATO EVA PRETO TAM-39 MARLUVAS;0;EPI;SAPATO;39
7893963009103;SAPATO EVA PRETO TAM-42 MARLUVAS;0;EPI;SAPATO;42
7893963101371;SAPATO PRETO 50F61-SRV 34 MARLUVAS;0;EPI;SAPATO;34
7893963101340;SAPATO PRETO 50F61-SRV 35 MARLUVAS;0;EPI;SAPATO;35
7893963101364;SAPATO PRETO 50F61-SRV 37 MARLUVAS;0;EPI;SAPATO;37
789396008991;SAPATO PRETO 50F61-SRV TRU LINE 33 MARLUVAS;0;EPI;SAPATO;33
7893963744493;SAPATO PRETO 50F61-SRV TRUE LINE 34 MARLUVAS;0;EPI;SAPATO;34
7893963744509;SAPATO PRETO 50F61-SRV TRUE LINE 35 MARLUVAS;0;EPI;SAPATO;35
7893963744516;SAPATO PRETO 50F61-SRV TRUE LINE 36 MARLUVAS;0;EPI;SAPATO;36
7893963744523;SAPATO PRETO 50F61-SRV TRUE LINE 37 MARLUVAS;0;EPI;SAPATO;37
7893963744530;SAPATO PRETO 50F61-SRV TRUE LINE 38 MARLUVAS;0;EPI;SAPATO;38
7893963744547;SAPATO PRETO 50F61-SRV TRUE LINE 39 MARLUVAS;0;EPI;SAPATO;39
